"Federal provinces";"01.01.2022";"01.01.2023";"01.01.2024";"01.01.2025";"01.01.2026";"01.04.2026"
"Austria";"8978929";"9104772";"9158750";"9197213";"9219113";"9220882"
"Burgenland";"297583";"301250";"301951";"301790";"301674";"301601"
"Carinthia";"564513";"568984";"569744";"570095";"570167";"569528"
"Lower Austria";"1698796";"1718373";"1723723";"1727514";"1730094";"1729573"
"Upper Austria";"1505140";"1522825";"1530349";"1535519";"1537669";"1538301"
"Salzburg";"562606";"568346";"571479";"572846";"573748";"574006"
"Styria";"1252922";"1265198";"1269801";"1271716";"1272195";"1271886"
"Tyrol";"764102";"771304";"775970";"777660";"779174";"779255"
"Vorarlberg";"401674";"406395";"409973";"411784";"412356";"412366"
"Vienna";"1931593";"1982097";"2005760";"2028289";"2042036";"2044366"